Barcode,Tumor core true
cellid_000000541-1,
cellid_000000542-1,
cellid_000000543-1,
cellid_000000544-1,
cellid_000000545-1,
cellid_000000546-1,
cellid_000000547-1,
cellid_000000548-1,
cellid_000000549-1,
cellid_000000550-1,
cellid_000000551-1,
cellid_000000552-1,
cellid_000000553-1,
cellid_000000554-1,
cellid_000000555-1,
cellid_000000556-1,
cellid_000000557-1,
cellid_000000558-1,
cellid_000000559-1,
cellid_000000560-1,
cellid_000000561-1,
cellid_000000562-1,
cellid_000000563-1,
cellid_000000564-1,
cellid_000000565-1,
cellid_000000566-1,
cellid_000000567-1,
cellid_000000568-1,
cellid_000000569-1,
cellid_000000570-1,
cellid_000000571-1,
cellid_000000572-1,
cellid_000000573-1,
cellid_000000574-1,
cellid_000000575-1,
cellid_000000576-1,
cellid_000000577-1,
cellid_000000578-1,
cellid_000000579-1,
cellid_000000580-1,
cellid_000000581-1,
cellid_000000582-1,
cellid_000000583-1,
cellid_000000584-1,
cellid_000000585-1,
cellid_000000586-1,
cellid_000000587-1,
cellid_000000588-1,
cellid_000000589-1,
cellid_000000590-1,
cellid_000000591-1,
cellid_000000592-1,
cellid_000000593-1,
cellid_000000594-1,
cellid_000000595-1,
cellid_000000596-1,
cellid_000000597-1,
cellid_000000598-1,
cellid_000000599-1,
cellid_000000600-1,
cellid_000000601-1,
cellid_000000602-1,
cellid_000000603-1,
cellid_000000604-1,
cellid_000000605-1,
cellid_000000606-1,
cellid_000000607-1,
cellid_000000608-1,
cellid_000000609-1,
cellid_000000610-1,
cellid_000000611-1,
cellid_000000612-1,
cellid_000000613-1,
cellid_000000614-1,
cellid_000000615-1,
cellid_000000616-1,
cellid_000000617-1,
cellid_000000618-1,
cellid_000000619-1,
cellid_000000620-1,
cellid_000000621-1,
cellid_000000622-1,
cellid_000000623-1,
cellid_000000624-1,
cellid_000000625-1,
cellid_000000626-1,
cellid_000000627-1,
cellid_000000628-1,
cellid_000000629-1,
cellid_000000630-1,
cellid_000000631-1,
cellid_000000632-1,
cellid_000000633-1,
cellid_000000634-1,
cellid_000000635-1,
cellid_000000636-1,
cellid_000000637-1,
cellid_000000638-1,
cellid_000000639-1,
cellid_000000640-1,
cellid_000000641-1,
cellid_000000642-1,
cellid_000000643-1,
cellid_000000644-1,
cellid_000000645-1,
cellid_000000646-1,
cellid_000000647-1,
cellid_000000648-1,
cellid_000000649-1,
cellid_000000650-1,
cellid_000000652-1,
cellid_000000653-1,
cellid_000000654-1,
cellid_000000655-1,
cellid_000000656-1,
cellid_000000657-1,
cellid_000000658-1,
cellid_000000659-1,
cellid_000000660-1,
cellid_000000661-1,
cellid_000000662-1,
cellid_000000663-1,
cellid_000000664-1,
cellid_000000665-1,
cellid_000000666-1,
cellid_000000667-1,
cellid_000000668-1,
cellid_000000669-1,
cellid_000000670-1,
cellid_000000671-1,
cellid_000000672-1,
cellid_000000673-1,
cellid_000000674-1,
cellid_000000675-1,
cellid_000000676-1,
cellid_000000677-1,
cellid_000000678-1,
cellid_000000679-1,
cellid_000000680-1,
cellid_000000681-1,
cellid_000000682-1,
cellid_000000683-1,
cellid_000000684-1,
cellid_000000685-1,
cellid_000000686-1,
cellid_000000687-1,
cellid_000000688-1,
cellid_000000689-1,Tumor core true
cellid_000000690-1,
cellid_000000691-1,
cellid_000000692-1,
cellid_000000693-1,
cellid_000000694-1,
cellid_000000695-1,
cellid_000000696-1,
cellid_000000697-1,
cellid_000000698-1,
cellid_000000699-1,Tumor core true
cellid_000000700-1,
cellid_000000701-1,
cellid_000000702-1,
cellid_000000703-1,
cellid_000000704-1,
cellid_000000705-1,
cellid_000000706-1,
cellid_000000707-1,
cellid_000000708-1,
cellid_000000709-1,
cellid_000000710-1,
cellid_000000711-1,
cellid_000000712-1,
cellid_000000713-1,
cellid_000000714-1,
cellid_000000715-1,
cellid_000000716-1,
cellid_000000717-1,
cellid_000000718-1,
cellid_000000719-1,
cellid_000000720-1,
cellid_000000721-1,
cellid_000000722-1,Tumor core true
cellid_000000723-1,
cellid_000000724-1,
cellid_000000725-1,
cellid_000000726-1,
cellid_000000727-1,
cellid_000000728-1,Tumor core true
cellid_000000729-1,
cellid_000000730-1,Tumor core true
cellid_000000731-1,
cellid_000000732-1,
cellid_000000733-1,
cellid_000000734-1,
cellid_000000735-1,
cellid_000000736-1,
cellid_000000737-1,
cellid_000000738-1,
cellid_000000739-1,
cellid_000000740-1,
cellid_000000741-1,
cellid_000000742-1,Tumor core true
cellid_000000743-1,
cellid_000000744-1,
cellid_000000745-1,
cellid_000000746-1,
cellid_000000747-1,
cellid_000000748-1,
cellid_000000749-1,
cellid_000000750-1,
cellid_000000751-1,
cellid_000000752-1,
cellid_000000753-1,
cellid_000000754-1,
cellid_000000755-1,
cellid_000000756-1,
cellid_000000757-1,
cellid_000000758-1,
cellid_000000759-1,
cellid_000000760-1,
cellid_000000761-1,
cellid_000000762-1,
cellid_000000763-1,
cellid_000000764-1,
cellid_000000765-1,
cellid_000000766-1,
cellid_000000767-1,
cellid_000000768-1,
cellid_000000769-1,
cellid_000000770-1,
cellid_000000771-1,
cellid_000000772-1,
cellid_000000773-1,
cellid_000000774-1,
cellid_000000775-1,
cellid_000000776-1,
cellid_000000777-1,
cellid_000000778-1,
cellid_000000779-1,Tumor core true
cellid_000000780-1,
cellid_000000781-1,
cellid_000000782-1,
cellid_000000783-1,
cellid_000000784-1,Tumor core true
cellid_000000785-1,
cellid_000000786-1,
cellid_000000787-1,
cellid_000000788-1,
cellid_000000789-1,
cellid_000000790-1,
cellid_000000791-1,
cellid_000000792-1,
cellid_000000793-1,
cellid_000000794-1,
cellid_000000795-1,
cellid_000000796-1,Tumor core true
cellid_000000797-1,
cellid_000000798-1,
cellid_000000799-1,
cellid_000000800-1,
cellid_000000801-1,
cellid_000000802-1,
cellid_000000803-1,
cellid_000000804-1,Tumor core true
cellid_000000805-1,
cellid_000000806-1,Tumor core true
cellid_000000807-1,
cellid_000000808-1,
cellid_000000809-1,
cellid_000000810-1,
cellid_000000811-1,Tumor core true
cellid_000000812-1,
cellid_000000813-1,
cellid_000000814-1,
cellid_000000815-1,
cellid_000000816-1,
cellid_000000817-1,
cellid_000000818-1,
cellid_000000819-1,
cellid_000000820-1,
cellid_000000821-1,
cellid_000000822-1,
cellid_000000823-1,
cellid_000000824-1,
cellid_000000825-1,
cellid_000000826-1,
cellid_000000827-1,
cellid_000000828-1,Tumor core true
cellid_000000829-1,
cellid_000000830-1,
cellid_000000831-1,
cellid_000000832-1,
cellid_000000833-1,
cellid_000000834-1,
cellid_000000835-1,
cellid_000000836-1,
cellid_000000837-1,
cellid_000000838-1,
cellid_000000839-1,
cellid_000000840-1,
cellid_000000841-1,
cellid_000000842-1,
cellid_000000843-1,
cellid_000000844-1,
cellid_000000845-1,Tumor core true
cellid_000000846-1,
cellid_000000847-1,
cellid_000000848-1,
cellid_000000849-1,
cellid_000000850-1,
cellid_000000851-1,
cellid_000000852-1,
cellid_000000853-1,
cellid_000000854-1,
cellid_000000855-1,
cellid_000000856-1,
cellid_000000857-1,
cellid_000000858-1,
cellid_000000859-1,
cellid_000000860-1,
cellid_000000861-1,
cellid_000000862-1,Tumor core true
cellid_000000863-1,
cellid_000000864-1,
cellid_000000865-1,
cellid_000000866-1,
cellid_000000867-1,
cellid_000000868-1,
cellid_000000869-1,
cellid_000000870-1,
cellid_000000871-1,
cellid_000000872-1,
cellid_000000873-1,
cellid_000000874-1,
cellid_000000875-1,
cellid_000000876-1,
cellid_000000877-1,
cellid_000000878-1,
cellid_000000879-1,
cellid_000000880-1,
cellid_000000881-1,
cellid_000000882-1,
cellid_000000883-1,
cellid_000000884-1,
cellid_000000885-1,
cellid_000000886-1,
cellid_000000887-1,
cellid_000000888-1,
cellid_000000889-1,
cellid_000000890-1,
cellid_000000891-1,
cellid_000000892-1,
cellid_000000893-1,
cellid_000000894-1,
cellid_000000895-1,
cellid_000000896-1,
cellid_000000897-1,Tumor core true
cellid_000000898-1,
cellid_000000899-1,
cellid_000000900-1,
cellid_000000901-1,
cellid_000000902-1,
cellid_000000903-1,
cellid_000000904-1,
cellid_000000905-1,
cellid_000000906-1,
cellid_000000907-1,
cellid_000000908-1,
cellid_000000909-1,
cellid_000000910-1,
cellid_000000911-1,
cellid_000000912-1,
cellid_000000913-1,
cellid_000000914-1,
cellid_000000915-1,
cellid_000000916-1,
cellid_000000917-1,
cellid_000000918-1,
cellid_000000919-1,
cellid_000000920-1,
cellid_000000921-1,
cellid_000000922-1,
cellid_000000923-1,
cellid_000000924-1,
cellid_000000925-1,
cellid_000000926-1,
cellid_000000927-1,
cellid_000000928-1,Tumor core true
cellid_000000929-1,
cellid_000000930-1,
cellid_000000931-1,
cellid_000000932-1,
cellid_000000933-1,
cellid_000000934-1,
cellid_000000935-1,
cellid_000000936-1,
cellid_000000937-1,Tumor core true
cellid_000000938-1,
cellid_000000939-1,
cellid_000000940-1,
cellid_000000941-1,
cellid_000000942-1,
cellid_000000943-1,
cellid_000000944-1,Tumor core true
cellid_000000945-1,Tumor core true
cellid_000000946-1,
cellid_000000947-1,
cellid_000000948-1,
cellid_000000949-1,
cellid_000000950-1,
cellid_000000951-1,
cellid_000000952-1,
cellid_000000953-1,
cellid_000000954-1,
cellid_000000955-1,
cellid_000000956-1,
cellid_000000957-1,
cellid_000000958-1,
cellid_000000959-1,
cellid_000000960-1,Tumor core true
cellid_000000961-1,
cellid_000000962-1,
cellid_000000963-1,
cellid_000000964-1,
cellid_000000965-1,
cellid_000000966-1,
cellid_000000967-1,
cellid_000000968-1,
cellid_000000969-1,
cellid_000000970-1,
cellid_000000971-1,
cellid_000000972-1,
cellid_000000973-1,
cellid_000000974-1,
cellid_000000975-1,
cellid_000000976-1,
cellid_000000977-1,
cellid_000000978-1,
cellid_000000979-1,
cellid_000000980-1,
cellid_000000981-1,
cellid_000000982-1,
cellid_000000983-1,
cellid_000000984-1,
cellid_000000985-1,Tumor core true
cellid_000000986-1,
cellid_000000987-1,
cellid_000000988-1,
cellid_000000989-1,
cellid_000000990-1,
cellid_000000991-1,
cellid_000000992-1,
cellid_000000993-1,
cellid_000000994-1,
cellid_000000995-1,
cellid_000000996-1,
cellid_000000997-1,Tumor core true
cellid_000000998-1,Tumor core true
cellid_000000999-1,
cellid_000001000-1,
cellid_000001001-1,
cellid_000001002-1,
cellid_000001003-1,
cellid_000001004-1,
cellid_000001005-1,
cellid_000001006-1,Tumor core true
cellid_000001007-1,Tumor core true
cellid_000001008-1,
cellid_000001009-1,Tumor core true
cellid_000001010-1,
cellid_000001011-1,
cellid_000001012-1,
cellid_000001013-1,
cellid_000001014-1,
cellid_000001015-1,
cellid_000001016-1,
cellid_000001017-1,
cellid_000001018-1,
cellid_000001019-1,
cellid_000001020-1,
cellid_000001021-1,
cellid_000001022-1,
cellid_000001023-1,
cellid_000001024-1,
cellid_000001025-1,
cellid_000001026-1,
cellid_000001027-1,
cellid_000001028-1,
cellid_000001029-1,
cellid_000001030-1,
cellid_000001031-1,
cellid_000001032-1,
cellid_000001033-1,
cellid_000001034-1,
cellid_000001035-1,
cellid_000001036-1,Tumor core true
